id_transaccion,id_cliente,fecha_compra,producto,categoria_producto,precio_unitario,cantidad,importe_total,metodo_pago,coste_envio,coste_fabricacion
86,2122,2024-01-05,iPhone 15,Móviles,1029.46,4,4117.84,bizum,11.26,607.08
87,1539,2024-10-24,Garmin Forerunner 255,Relojes inteligentes,273.3,2,546.6,bizum,10.21,135.2
88,1294,2024-10-24,Teclado Keychron K6,Accesorios,162.86,2,325.72,paypal,7.54,40.53
89,2613,2023-09-10,Garmin Forerunner 255,Relojes inteligentes,258.2,2,516.4,bizum,11.68,147.21
90,1827,2023-04-07,Lenovo ThinkPad X1 Carbon,Portátiles,1155.63,4,4622.52,tarjeta,24.44,709.66
91,1968,2023-01-17,Samsung Galaxy Watch 6,Relojes inteligentes,357.62,2,715.24,tarjeta,9.56,211.55
92,2020,2024-02-23,Google Pixel 8,Móviles,945.39,3,2836.17,paypal,14.0,557.65
93,2721,2024-06-09,Samsung Galaxy Watch 6,Relojes inteligentes,315.23,1,315.23,bizum,11.5,176.34
94,470,2024-08-10,Powerbank Anker 20000 mAh,Accesorios,204.53,3,613.59,bizum,4.53,70.93
95,1221,2024-11-20,iPhone 15,Móviles,699.12,1,699.12,bizum,7.71,461.79
96,2358,2023-08-07,Huawei Watch GT 4,Relojes inteligentes,394.66,1,394.66,tarjeta,13.61,159.58
97,758,2023-02-11,Garmin Forerunner 255,Relojes inteligentes,634.29,1,634.29,tarjeta,8.57,320.08
98,1800,2023-09-01,Lenovo ThinkPad X1 Carbon,Portátiles,954.79,3,2864.37,tarjeta,16.95,599.05
99,3306,2023-03-09,Dell XPS 13,Portátiles,1634.58,1,1634.58,bizum,9.44,1134.2
100,3131,2024-01-24,Xiaomi 13,Móviles,1007.97,3,3023.91,tarjeta,14.05,510.62
101,1019,2023-09-25,Samsung Galaxy S23,Móviles,1449.38,3,4348.14,tarjeta,8.29,724.81
102,989,2024-09-25,Apple Watch Series 9,Relojes inteligentes,610.21,2,1220.42,bizum,6.66,261.58
103,2352,2024-05-01,Apple Watch Series 9,Relojes inteligentes,401.74,1,401.74,paypal,11.61,210.44
104,4188,2024-11-25,iPhone 15,Móviles,265.81,2,531.62,transferencia,10.51,169.22
105,3487,2023-08-25,Dell XPS 13,Portátiles,2387.22,1,2387.22,paypal,22.76,1733.73
106,1634,2023-04-07,iPhone 15,Móviles,1203.67,1,1203.67,transferencia,6.35,610.23
107,317,2024-10-19,Lenovo ThinkPad X1 Carbon,Portátiles,1639.78,1,1639.78,tarjeta,23.34,1197.36
108,436,2023-04-03,Lenovo ThinkPad X1 Carbon,Portátiles,1004.02,2,2008.04,paypal,11.79,802.07
109,1477,2024-09-07,Apple Watch Series 9,Relojes inteligentes,328.52,2,657.04,paypal,8.94,187.41
110,1897,2023-09-25,Apple Watch Series 9,Relojes inteligentes,264.02,2,528.04,transferencia,11.66,135.35
111,1824,2023-01-22,Apple Watch Series 9,Relojes inteligentes,534.91,1,534.91,tarjeta,5.79,261.07
112,19,2024-10-21,Samsung Galaxy Watch 6,Relojes inteligentes,317.35,2,634.7,bizum,7.6,136.29
113,590,2024-12-02,Asus ZenBook 14,Portátiles,2015.23,1,2015.23,bizum,11.85,1457.05
114,4034,2023-08-20,Cargador inalámbrico Belkin,Accesorios,21.48,1,21.48,bizum,12.04,8.47
115,4551,2024-05-05,Lenovo ThinkPad X1 Carbon,Portátiles,1260.41,1,1260.41,tarjeta,15.37,999.0
116,3558,2023-01-13,Garmin Forerunner 255,Relojes inteligentes,595.21,1,595.21,paypal,7.19,328.76
117,648,2024-09-20,iPhone 15,Móviles,565.74,4,2262.96,tarjeta,8.0,306.96
118,4159,2023-04-19,OnePlus 11,Móviles,536.65,2,1073.3,transferencia,6.47,299.76
119,977,2024-02-26,HP Spectre x360,Portátiles,844.29,1,844.29,paypal,21.44,602.25
120,3040,2024-09-22,Dell XPS 13,Portátiles,1690.55,3,5071.65,transferencia,18.51,1311.25
121,1342,2024-11-15,Apple Watch Series 9,Relojes inteligentes,225.11,4,900.44,transferencia,4.67,107.24
122,618,2024-05-12,Asus ZenBook 14,Portátiles,1713.43,4,6853.72,transferencia,22.3,1086.43
123,527,2024-11-15,Samsung Galaxy S23,Móviles,1383.78,1,1383.78,transferencia,9.25,893.56
124,2398,2023-01-13,Fitbit Versa 4,Relojes inteligentes,268.7,4,1074.8,tarjeta,10.08,137.41
125,2947,2024-05-07,Google Pixel 8,Móviles,906.97,1,906.97,bizum,8.29,580.21
126,555,2024-04-26,HP Spectre x360,Portátiles,1810.74,3,5432.22,transferencia,13.7,1270.01
127,3140,2023-03-26,Lenovo ThinkPad X1 Carbon,Portátiles,2176.8,1,2176.8,paypal,16.2,1670.1
128,4212,2024-06-23,Asus ZenBook 14,Portátiles,2166.14,1,2166.14,bizum,12.97,1538.54
129,4656,2024-03-08,Huawei Watch GT 4,Relojes inteligentes,620.99,4,2483.96,tarjeta,9.11,294.63
130,2078,2024-10-13,Xiaomi 13,Móviles,1158.04,1,1158.04,bizum,9.42,662.49
131,1864,2024-05-22,Samsung Galaxy S23,Móviles,853.18,2,1706.36,transferencia,8.09,549.23
132,2253,2024-11-18,iPhone 15,Móviles,859.93,2,1719.86,transferencia,9.08,580.46
133,4224,2023-07-15,HP Spectre x360,Portátiles,2033.63,2,4067.26,transferencia,24.57,1289.08
134,1042,2023-12-06,Cargador inalámbrico Belkin,Accesorios,179.37,4,717.48,bizum,7.95,50.71
135,8,2024-12-03,Apple Watch Series 9,Relojes inteligentes,229.77,2,459.54,transferencia,4.13,93.28
136,144,2024-12-01,Auriculares Sony WH-1000XM5,Accesorios,88.19,1,88.19,transferencia,4.14,28.4
137,4735,2024-03-06,Dell XPS 13,Portátiles,2073.86,2,4147.72,bizum,12.48,1327.21
138,2860,2024-09-06,iPhone 15,Móviles,1250.82,1,1250.82,bizum,12.19,774.6
139,1076,2024-09-22,HP Spectre x360,Portátiles,994.9,3,2984.7,bizum,11.08,704.53
140,2421,2023-04-06,Apple Watch Series 9,Relojes inteligentes,303.96,1,303.96,tarjeta,9.47,155.96
141,228,2024-05-17,Dell XPS 13,Portátiles,2151.42,2,4302.84,paypal,8.76,1360.47
142,2706,2024-03-26,Asus ZenBook 14,Portátiles,1351.76,1,1351.76,bizum,9.95,1036.96
143,1622,2024-05-16,Ratón Logitech MX Master 3,Accesorios,36.53,1,36.53,tarjeta,4.7,12.58
144,2003,2023-09-02,OnePlus 11,Móviles,720.24,1,720.24,paypal,7.96,475.07
145,3202,2023-09-02,Powerbank Anker 20000 mAh,Accesorios,264.8,2,529.6,tarjeta,4.04,78.72
146,1624,2024-02-20,Lenovo ThinkPad X1 Carbon,Portátiles,2466.76,1,2466.76,bizum,24.6,1701.66
147,2949,2024-01-03,Huawei Watch GT 4,Relojes inteligentes,635.68,2,1271.36,tarjeta,8.3,285.27
148,3261,2023-06-23,Ratón Logitech MX Master 3,Accesorios,32.2,3,96.6,tarjeta,5.71,9.32
149,558,2023-09-18,MacBook Air M2,Portátiles,1103.78,1,1103.78,tarjeta,22.82,823.58
150,1834,2023-02-09,Garmin Forerunner 255,Relojes inteligentes,538.94,2,1077.88,transferencia,6.95,315.12
151,1745,2023-11-27,Cargador inalámbrico Belkin,Accesorios,27.68,1,27.68,paypal,7.34,8.23
152,1447,2024-12-09,Ratón Logitech MX Master 3,Accesorios,149.62,1,149.62,bizum,7.09,43.42
153,3758,2024-12-20,Lenovo ThinkPad X1 Carbon,Portátiles,1736.38,4,6945.52,tarjeta,15.28,1109.94
154,3240,2023-02-25,Lenovo ThinkPad X1 Carbon,Portátiles,1411.28,1,1411.28,bizum,9.15,977.94
155,1721,2023-12-15,Garmin Forerunner 255,Relojes inteligentes,717.44,2,1434.88,paypal,4.36,414.05
156,2563,2023-03-02,Apple Watch Series 9,Relojes inteligentes,639.22,2,1278.44,bizum,7.33,351.19
157,2742,2024-10-02,OnePlus 11,Móviles,697.41,1,697.41,bizum,8.71,412.04
158,3087,2024-02-06,Dell XPS 13,Portátiles,2380.41,4,9521.64,tarjeta,8.08,1432.79
159,992,2024-07-18,Garmin Forerunner 255,Relojes inteligentes,499.2,1,499.2,tarjeta,13.25,227.04
160,3288,2023-09-14,OnePlus 11,Móviles,998.6,4,3994.4,bizum,12.25,533.8
161,483,2024-01-05,Huawei Watch GT 4,Relojes inteligentes,303.62,2,607.24,tarjeta,11.59,166.34
162,842,2024-07-12,Teclado Keychron K6,Accesorios,212.91,1,212.91,paypal,7.44,50.47
163,1596,2023-10-27,Asus ZenBook 14,Portátiles,2302.66,1,2302.66,transferencia,21.42,1709.65
164,208,2024-12-16,Google Pixel 8,Móviles,827.04,4,3308.16,tarjeta,12.14,473.27
165,433,2024-02-22,Teclado Keychron K6,Accesorios,298.11,2,596.22,transferencia,6.43,96.61
166,4020,2024-08-07,Teclado Keychron K6,Accesorios,206.07,4,824.28,transferencia,7.17,79.18
167,1029,2024-01-08,Samsung Galaxy Watch 6,Relojes inteligentes,529.9,1,529.9,tarjeta,8.69,286.63
168,2643,2024-08-20,HP Spectre x360,Portátiles,1823.48,4,7293.92,tarjeta,10.96,1342.24
169,1802,2024-01-01,Samsung Galaxy Watch 6,Relojes inteligentes,209.88,1,209.88,tarjeta,5.55,102.77
170,3461,2023-01-15,Apple Watch Series 9,Relojes inteligentes,425.64,1,425.64,bizum,10.9,242.88
171,1421,2023-09-16,Cargador inalámbrico Belkin,Accesorios,280.16,1,280.16,paypal,7.49,71.23
172,2150,2024-09-01,Dell XPS 13,Portátiles,2003.42,1,2003.42,tarjeta,14.17,1528.89
173,1593,2024-03-08,Teclado Keychron K6,Accesorios,46.01,1,46.01,paypal,8.5,11.46
174,2115,2024-12-11,Dell XPS 13,Portátiles,1562.51,1,1562.51,transferencia,16.14,1161.0
175,1738,2024-04-27,MacBook Air M2,Portátiles,2416.16,1,2416.16,bizum,8.56,1743.48
176,3365,2024-03-11,Samsung Galaxy Watch 6,Relojes inteligentes,407.44,2,814.88,transferencia,11.66,220.82
177,4910,2023-07-09,OnePlus 11,Móviles,1067.52,4,4270.08,paypal,8.54,553.14
178,2092,2024-04-27,Cargador inalámbrico Belkin,Accesorios,53.2,3,159.6,transferencia,3.73,20.84
179,3302,2023-12-27,Samsung Galaxy Watch 6,Relojes inteligentes,341.17,4,1364.68,bizum,8.04,185.79
180,4434,2024-03-26,Fitbit Versa 4,Relojes inteligentes,693.75,3,2081.25,transferencia,11.43,288.75
181,3275,2023-12-22,iPhone 15,Móviles,1613.35,4,6453.4,transferencia,11.11,1090.05
182,2544,2024-09-25,Samsung Galaxy Watch 6,Relojes inteligentes,448.61,1,448.61,paypal,9.99,189.8
183,2123,2024-10-03,Dell XPS 13,Portátiles,1165.18,1,1165.18,bizum,12.77,817.26
184,1265,2023-05-15,Fitbit Versa 4,Relojes inteligentes,475.15,2,950.3,transferencia,11.65,256.48
185,3303,2024-11-26,Xiaomi 13,Móviles,279.78,3,839.34,paypal,6.58,173.5
186,1926,2024-09-24,Huawei Watch GT 4,Relojes inteligentes,631.1,2,1262.2,transferencia,8.61,272.35
187,647,2024-06-08,HP Spectre x360,Portátiles,1059.74,4,4238.96,tarjeta,8.26,822.36
188,322,2024-11-26,Huawei Watch GT 4,Relojes inteligentes,248.02,1,248.02,paypal,9.13,112.16
189,92,2024-05-10,MacBook Air M2,Portátiles,1540.91,2,3081.82,bizum,20.61,1211.41
190,474,2024-09-11,Auriculares Sony WH-1000XM5,Accesorios,188.19,1,188.19,bizum,5.89,40.47
191,134,2024-09-23,Google Pixel 8,Móviles,910.93,3,2732.79,paypal,9.0,510.78
192,3473,2024-10-14,Apple Watch Series 9,Relojes inteligentes,178.79,1,178.79,bizum,5.32,106.8
193,2039,2023-05-12,Fitbit Versa 4,Relojes inteligentes,695.73,2,1391.46,bizum,9.02,336.12
194,2316,2024-06-22,Ratón Logitech MX Master 3,Accesorios,191.82,1,191.82,bizum,4.14,62.95
195,2989,2024-08-24,Apple Watch Series 9,Relojes inteligentes,321.26,3,963.78,transferencia,13.27,187.33
196,4261,2024-11-03,Fitbit Versa 4,Relojes inteligentes,488.2,2,976.4,bizum,9.96,276.72
197,182,2024-01-01,Ratón Logitech MX Master 3,Accesorios,111.62,1,111.62,transferencia,3.12,27.59
198,1316,2024-11-11,Dell XPS 13,Portátiles,1212.08,2,2424.16,bizum,14.18,775.15
199,4098,2024-12-25,Google Pixel 8,Móviles,530.02,1,530.02,paypal,7.58,367.99
200,1313,2023-04-10,Google Pixel 8,Móviles,1086.22,1,1086.22,paypal,7.87,696.7
201,2620,2024-11-17,Dell XPS 13,Portátiles,909.47,2,1818.94,paypal,11.45,550.81
202,2673,2024-11-09,Google Pixel 8,Móviles,1280.82,2,2561.64,tarjeta,9.69,710.6
203,4443,2024-03-17,HP Spectre x360,Portátiles,2419.41,2,4838.82,bizum,19.11,1564.87
204,3951,2024-01-14,Fitbit Versa 4,Relojes inteligentes,385.76,3,1157.28,tarjeta,6.42,197.17
205,2720,2023-08-18,HP Spectre x360,Portátiles,1774.09,3,5322.27,paypal,17.92,1154.09
206,477,2023-05-24,Ratón Logitech MX Master 3,Accesorios,192.43,4,769.72,bizum,9.95,62.1
207,3571,2023-12-14,Teclado Keychron K6,Accesorios,58.88,3,176.64,transferencia,6.07,13.74
208,5,2024-03-19,iPhone 15,Móviles,374.45,2,748.9,bizum,8.69,225.73
209,1482,2024-06-02,HP Spectre x360,Portátiles,2419.88,3,7259.64,tarjeta,8.13,1478.62
210,4096,2024-01-03,Samsung Galaxy S23,Móviles,803.08,3,2409.24,tarjeta,13.27,478.87
211,1339,2023-08-06,Huawei Watch GT 4,Relojes inteligentes,653.33,1,653.33,tarjeta,13.12,307.62
212,2812,2023-08-18,Ratón Logitech MX Master 3,Accesorios,53.04,1,53.04,transferencia,11.16,17.33
213,3655,2024-12-22,Apple Watch Series 9,Relojes inteligentes,449.33,3,1347.99,tarjeta,10.13,190.55
214,608,2023-04-21,Lenovo ThinkPad X1 Carbon,Portátiles,980.82,2,1961.64,transferencia,19.79,672.06
215,1823,2024-01-09,Dell XPS 13,Portátiles,2248.28,1,2248.28,tarjeta,19.2,1514.3
216,2067,2023-09-15,Google Pixel 8,Móviles,887.28,1,887.28,tarjeta,12.79,535.41
217,1440,2023-01-16,Lenovo ThinkPad X1 Carbon,Portátiles,1916.0,4,7664.0,bizum,20.07,1432.03
218,4055,2024-03-11,Samsung Galaxy S23,Móviles,990.53,4,3962.12,paypal,14.0,637.25
219,4153,2024-06-02,Samsung Galaxy Watch 6,Relojes inteligentes,680.83,2,1361.66,bizum,8.72,281.55
220,3439,2024-05-20,Huawei Watch GT 4,Relojes inteligentes,666.0,1,666.0,paypal,7.23,270.55
221,602,2023-06-17,Samsung Galaxy Watch 6,Relojes inteligentes,420.48,2,840.96,bizum,10.58,239.04
222,483,2024-02-10,Samsung Galaxy Watch 6,Relojes inteligentes,176.15,1,176.15,tarjeta,6.04,95.1
223,3826,2024-03-16,OnePlus 11,Móviles,1118.57,1,1118.57,tarjeta,9.95,738.16
224,1419,2023-10-25,Garmin Forerunner 255,Relojes inteligentes,421.66,1,421.66,bizum,8.36,206.93
225,2164,2023-02-11,Xiaomi 13,Móviles,655.41,1,655.41,bizum,6.16,399.18
226,1657,2024-12-08,OnePlus 11,Móviles,527.35,1,527.35,paypal,9.11,264.13
227,3262,2024-05-10,Samsung Galaxy Watch 6,Relojes inteligentes,338.14,3,1014.42,transferencia,5.98,162.2
228,4363,2024-07-21,Dell XPS 13,Portátiles,840.91,3,2522.73,tarjeta,27.59,654.11
229,423,2023-07-02,Xiaomi 13,Móviles,597.14,1,597.14,tarjeta,18.09,404.49
230,898,2024-09-11,Apple Watch Series 9,Relojes inteligentes,540.98,2,1081.96,paypal,9.66,245.04
231,3642,2023-11-22,Fitbit Versa 4,Relojes inteligentes,415.56,4,1662.24,transferencia,8.4,221.26
232,2934,2023-12-05,Ratón Logitech MX Master 3,Accesorios,254.92,1,254.92,transferencia,6.51,52.55
233,4547,2024-09-24,Teclado Keychron K6,Accesorios,40.88,4,163.52,paypal,8.22,8.66
234,4088,2024-06-10,Garmin Forerunner 255,Relojes inteligentes,225.72,2,451.44,bizum,11.24,129.53
235,3091,2024-10-21,Apple Watch Series 9,Relojes inteligentes,517.14,1,517.14,transferencia,10.37,308.05
236,885,2023-04-11,HP Spectre x360,Portátiles,1446.76,1,1446.76,transferencia,16.23,976.43
237,1941,2024-10-06,Apple Watch Series 9,Relojes inteligentes,232.4,4,929.6,paypal,8.15,110.98
238,4453,2023-12-24,Lenovo ThinkPad X1 Carbon,Portátiles,1582.62,2,3165.24,paypal,13.95,960.81
239,4924,2023-05-27,Dell XPS 13,Portátiles,1140.88,1,1140.88,paypal,10.34,694.05
240,723,2024-05-08,Teclado Keychron K6,Accesorios,227.65,4,910.6,paypal,4.12,68.57
241,2024,2024-12-02,MacBook Air M2,Portátiles,962.14,3,2886.42,bizum,12.36,735.98
242,2770,2024-12-09,Asus ZenBook 14,Portátiles,801.46,4,3205.84,paypal,10.46,590.94
243,2376,2024-11-10,Xiaomi 13,Móviles,894.11,4,3576.44,paypal,9.4,524.99
244,685,2024-12-12,Samsung Galaxy S23,Móviles,1571.89,1,1571.89,tarjeta,6.91,1014.42
245,3095,2023-10-16,Xiaomi 13,Móviles,682.96,3,2048.88,tarjeta,11.94,441.7
246,876,2023-03-21,Xiaomi 13,Móviles,818.6,1,818.6,bizum,6.12,461.0
247,2020,2024-11-13,Lenovo ThinkPad X1 Carbon,Portátiles,2180.08,2,4360.16,paypal,16.15,1728.27
248,2814,2023-09-20,Teclado Keychron K6,Accesorios,211.13,1,211.13,tarjeta,6.03,71.36
249,1846,2024-12-04,Huawei Watch GT 4,Relojes inteligentes,586.94,4,2347.76,bizum,7.37,337.74
250,1916,2023-06-15,OnePlus 11,Móviles,643.31,2,1286.62,paypal,6.59,418.87
251,4185,2024-02-26,Samsung Galaxy S23,Móviles,570.48,4,2281.92,bizum,11.17,349.21
252,107,2024-02-22,Samsung Galaxy Watch 6,Relojes inteligentes,397.02,2,794.04,transferencia,5.78,195.27
253,1791,2023-05-09,Asus ZenBook 14,Portátiles,1417.28,1,1417.28,tarjeta,17.36,1073.2
254,2375,2023-01-08,iPhone 15,Móviles,1126.32,2,2252.64,paypal,6.18,614.54
255,4509,2023-10-17,Auriculares Sony WH-1000XM5,Accesorios,178.17,1,178.17,paypal,3.66,49.88
